reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,clean_content,Topik_1,Topik_2,Topik_3,Topik_4,Topik_5,topik_dominan_index,topik_label
74adaebb-6afd-4b94-bed2-0ed79962b592,solikhin hadi,https://play-lh.googleusercontent.com/a/ACg8ocI6Ar25TvCyHuQ2cwWb9Srk634lmwNd6kwRIe7HD7mKqX8-kw=mo,lupa FFIN pas verifikasi lewat email kok bukan email saya yng terdaftar,5,0,,2025-06-20 12:36:43,,,,lupa ffin pas verifikasi lewat email kok bukan email saya yng daftar,0.0202208523962231,0.757439799313776,0.0209052521379812,0.1808086523560365,0.0206254437959831,1,Masalah Kode Verifikasi & OTP
ba3b482f-8c9c-4db1-bdfb-7d13ebb11373,Wafiq Abrori,https://play-lh.googleusercontent.com/a/ACg8ocLHhbkrLqSJkgmDpg7fvW3UqeZzyzYtOIwNbZCovao1r8M2rg=mo,"PERBAIKI WEBNYA LAH.. MASA SEKELAS PEMERINTAH WEB NYA AMBURADUL PARAH.. SAMPE HABIS PULSA GW BERULANG ULANG GAGAL TERUS, DATA GA KESIMPEN HARUS MULAI DARI AWAL LAGI.. KOK ""PINTERNYA"" MINTA AMPUN BGT 😭 MAU FOTO KETERANGANNYA HARUS DIBAWAH 300KB, GILA KECIL AMAT.. PDHL UDAH FOTO PAKE FITUR KAMERA DI WEBNYA.. KOK BISA FITUR YG DIBIKIN SENDIRI MALAH GA KOMPATIBEL SAMA SISTEMNYA SENDIRI, KOCAK BET 😭 BUBAR DEH BUBAR KALO GA BECUS",1,0,,2025-06-20 07:19:27,,,,baik webnya lah masa kelas perintah web nya amburadul parah sampe habis pulsa gw ulang ulang gagal terus data ga kesimpen harus mulai dari awal lagi kok pinternya minta ampun bgt mau foto terang harus bawah 300kb gila kecil amat pdhl udah foto pake fitur kamera di webnya kok bisa fitur yg bikin sendiri malah ga kompatibel sama sistem sendiri kocak bet bubar deh bubar kalo ga becus,0.1164360830162871,0.3919869751195458,0.0038863889721124,0.4838147668612285,0.0038757860308258,3,Gagal Akses atau Daftar Akun
90e20bc6-209b-4170-a412-5bbdf0f3b46f,Ananda Al Jafar,https://play-lh.googleusercontent.com/a-/ALV-UjXUfeM3k8lEzmwt8URb2QwbYRuFsxU2KPpSJ7-VR2uypf6FzgOH,kok kirim verifikasi kode telepon aja lama banget,1,0,2.0.4,2025-06-20 07:02:14,,,2.0.4,kok kirim verifikasi kode telepon aja lama banget,0.0256474020356031,0.8985675826835925,0.025078971369905,0.0256244753739975,0.0250815685369016,1,Masalah Kode Verifikasi & OTP
bab01d77-8ed2-4d64-bbb0-5b926d2bde09,Wynce,https://play-lh.googleusercontent.com/a/ACg8ocK838Y_ItjaRoenFWUMBvaggLnsb7gXdsRTElBQO6nVaGRU=mo,"kau, Orang buat pajak aja kau persulit ya",1,0,,2025-06-20 04:42:57,,,,kau orang buat pajak aja kau sulit ya,0.4121253741175814,0.0289147623998111,0.5003571986248659,0.0294287093736905,0.029173955484051,2,Ulasan Campuran: Puas & Keluhan Error
92263c8f-e981-47c8-9cbf-f5e5716b945f,Farhan Kholilurrohman,https://play-lh.googleusercontent.com/a-/ALV-UjW1LKREiFmiMAE4LNWirP0YV0lhHESASXU3f-uWeJvo7dRTp5eHkg,memprihatinkan sekali sekelas website pemerintah selelet ini,1,0,2.0.4,2025-06-20 04:05:23,,,2.0.4,prihatin sekali kelas website perintah lelet ini,0.0334710918552102,0.0336492598979019,0.034137660997961,0.5602415992682344,0.3385003879806924,3,Gagal Akses atau Daftar Akun
8b689f4b-0897-4f31-8edf-f3a5f060050f,Sultan Jowo,https://play-lh.googleusercontent.com/a-/ALV-UjUW9Kl12z6zNdjdInLSOkG6-vMKxYOZPk8tAtavMPo_S25GlMxNnA,"lupa password tidak bisa di reset ulang ,kacau",1,0,2.0.4,2025-06-20 03:43:08,,,2.0.4,lupa password tidak bisa di reset ulang kacau,0.0226743983998409,0.9094501036756052,0.0223576402800708,0.0224675064764561,0.0230503511680267,1,Masalah Kode Verifikasi & OTP
4cefba18-dd89-4c61-8467-1d7c2c3d952a,Ramadho Anuar,https://play-lh.googleusercontent.com/a-/ALV-UjW4dqtRvO43DPuB7bFg0oKkhK71oPbCxOoGNO0WYcNNRvcIVZk,aplikasi terbobrok yang pernah saya buka,1,0,,2025-06-19 08:56:31,,,,aplikasi bobrok yang pernah saya buka,0.0335783812830018,0.0336850613105039,0.0340230562741474,0.7312802624895688,0.167433238642778,3,Gagal Akses atau Daftar Akun
60906be9-6c38-4e1b-88d2-23c71fdc83ae,Arga Aswar,https://play-lh.googleusercontent.com/a-/ALV-UjW5-vyQITj7Mxs3TzbByD1XLAb2bC2MKNjmTzG5G1IckSXAAj4,sangat buruk,1,0,,2025-06-19 07:57:30,,,,sangat buruk,0.0667218362387487,0.0666668308129129,0.7303751024737329,0.0666668499265799,0.0695693805480255,2,Ulasan Campuran: Puas & Keluhan Error
3e8aa820-6b19-4e2b-9614-151e3caeaff2,Yoel Alberto,https://play-lh.googleusercontent.com/a-/ALV-UjUVZMKrYepWBzIOHFWlyQfegP3HnTo3XxZrL0CqJWoZa-z9-K_l,ribettt bet ngurus ny wkwk perbaiki sistem pak/bu jgn makan gaji doang,1,0,2.0.4,2025-06-19 06:13:13,,,2.0.4,ribettt bet ngurus ny wkwk baik sistem pak bu jgn makan gaji doang,0.1288059562950013,0.0182614288949173,0.8164495196700765,0.0182711572338067,0.018211937906198,2,Ulasan Campuran: Puas & Keluhan Error
d48fa941-b9ea-45b0-8919-44084c699b80,Ar Ardi,https://play-lh.googleusercontent.com/a-/ALV-UjUOvefE2n-_Bx3xc7mTaPDthguIxOfBNSOvBXRqm08a1kFnBtjm,aplikasi sulit email pun berubah aneh saya,1,0,,2025-06-19 05:06:11,,,,aplikasi sulit email pun ubah aneh saya,0.5368466004002979,0.2253447148084658,0.0255398461742242,0.0254723210166668,0.1867965176003451,0,Kesulitan Melapor & Bayar Pajak
